Transaction ID,Date,Merchant Name,Description,Amount,Category Primary,Category Detailed,Account ID,Transaction Type,Created At,Review Notes,Is Subscription?,Is Recurring?
948c2c9f-a309-37e1-82de-3c1bf4775838,2025-11-28,AGARWAL SUMIT KUMAR Platinum Digital Entertainment Credit HLU*HULUPLUS,AGARWAL SUMIT KUMAR Platinum Digital Entertainment Credit HLU*HULUPLUS,1.87,entertainment,entertainment,33170ec5-8f03-4cc9-b524-28a257508beb,EXPENSE,2026-01-09T15:15:54.930842964Z,,,
4696eb6b-1e28-369f-b6e0-26349b481baf,2025-11-28,AUTOPAY 999990000012756RAUTOPAY AUTO-PMT,AUTOPAY 999990000012756RAUTOPAY AUTO-PMT,436.8,payment,payment,1dfe4c39-4d2b-44b3-9a2a-1cd50bb21e72,EXPENSE,2026-01-09T15:16:24.317165797Z,,,
bd6e3a17-dd57-36d0-881e-815602821e24,2025-11-28,CHASE CREDIT CRD AUTOPAYBUS PPD ID:,CHASE CREDIT CRD AUTOPAYBUS                 PPD ID: 4760039224,-94.0,payment,payment,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:36.573576928Z,,,
bb8aed26-ecc6-34e2-a031-cdfa6f9dd72d,2025-11-28,CITI AUTOPAY PAYMENT PPD ID: CITICARDAP,CITI AUTOPAY     PAYMENT                    PPD ID: CITICARDAP,-436.8,payment,payment,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:36.633083219Z,,,
f3013e35-970c-3cd1-8d9e-e1a9a336e4c8,2025-11-27,AGARWAL SUMIT KUMAR Platinum Uber One Credit UBER ONE,AGARWAL SUMIT KUMAR Platinum Uber One Credit UBER ONE,9.99,transportation,transportation,33170ec5-8f03-4cc9-b524-28a257508beb,EXPENSE,2026-01-09T15:15:54.893845839Z,,,
3439eb6c-74f2-38c3-87f7-129ea50c479c,2025-11-27,"AGARWAL SUMIT KUMAR AUTOPAY PAYMENT RECEIVED - THANK YOU JPMorgan Chase Bank, NA","AGARWAL SUMIT KUMAR AUTOPAY PAYMENT RECEIVED - THANK YOU JPMorgan Chase Bank, NA",1957.91,payment,payment,33170ec5-8f03-4cc9-b524-28a257508beb,EXPENSE,2026-01-09T15:15:54.684696964Z,,,
8d72eb54-b2c9-30a3-90a6-3acb25b97137,2025-11-25,CHECK 97,CHECK 97,-10500.0,transfer,transfer,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:36.807872594Z,,,
fa03dd6e-5151-3d6c-8480-7781ce15ff10,2025-11-25,TARGET CARD SRVC PAYMENT H WEB ID:,TARGET CARD SRVC PAYMENT    H     372368064 WEB ID: 7411721810,-84.95,payment,payment,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:36.868347344Z,,,
65fc3511-d3cf-30b7-995d-6047a596b891,2025-11-21,CITY OF BELLEVUE UTILITY TEL ID:,CITY OF BELLEVUE UTILITY    6523060         TEL ID: 0000063576,-425.43,utilities,utilities,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:36.927235969Z,,,
e47adc2b-b3cd-3ce8-8590-e067e2b7b06c,2025-11-20,PUGET SOUND ENER BILLPAY PPD ID:,PUGET SOUND ENER BILLPAY                    PPD ID: 0000000160,-271.23,utilities,utilities,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:36.987750761Z,,,
e106a442-065f-3a20-a35e-e3874b1c311f,2025-11-19,AGARWAL SUMIT KUMAR Platinum Digital Entertainment Credit GOOGLE *YOUTUBE MUSIC,AGARWAL SUMIT KUMAR Platinum Digital Entertainment Credit GOOGLE *YOUTUBE MUSIC,18.72,tech,tech,33170ec5-8f03-4cc9-b524-28a257508beb,EXPENSE,2026-01-09T15:15:54.764251422Z,,,
a7e8ec1b-952f-3784-9945-6131460915bf,2025-11-18,ONLINE TRANSFER TO CHK ...9994 TRANSACTION#: 11/18,Online Transfer to CHK ...9994 transaction#: 27008744356 11/18,-1000.0,transfer,transfer,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:37.047776428Z,,,
7d41a926-b41a-37a5-95f3-508dedbd2374,2025-11-17,CITI AUTOPAY PAYMENT WEB ID: CITICARDAP,CITI AUTOPAY     PAYMENT    291855851880146 WEB ID: CITICARDAP,-1509.16,payment,payment,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:37.290109636Z,,,
55fe463d-ac8b-3fcb-b3cd-b6706927e9e2,2025-11-17,CHASE CREDIT CRD AUTOPAY PPD ID:,CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224,-1560.9,payment,payment,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:37.231196803Z,,,
4afa795f-be04-34e7-ae88-a3ce05406323,2025-11-17,AUTOPAY 999990000061086RAUTOPAY AUTO-PMT,AUTOPAY 999990000061086RAUTOPAY AUTO-PMT,1509.16,payment,payment,d9e9b150-b520-4997-87a5-de8dc2b4032e,EXPENSE,2026-01-09T15:15:58.608106924Z,,,
7fa0ddea-2860-3729-b59c-9531dc39b261,2025-11-15,AGARWAL SUMIT KUMAR Platinum Resy Credit TST* MAXIMILIEN 00014367,AGARWAL SUMIT KUMAR Platinum Resy Credit TST* MAXIMILIEN 00014367,4.85,dining,dining,33170ec5-8f03-4cc9-b524-28a257508beb,EXPENSE,2026-01-09T15:15:54.723109880Z,,,
f83560bc-80fe-3731-aed3-002cbd82dd38,2025-11-14,AUTOMATIC PAYMENT - THANK YOU,AUTOMATIC PAYMENT - THANK YOU,1560.9,payment,payment,8bb6abb2-7ed8-4731-b3c8-ff6d25875647,EXPENSE,2026-01-09T15:16:13.725094750Z,,,
11ea72cb-ad14-3959-ba59-d8158088ac8d,2025-11-10,AMZ_STORECRD_PMT PAYMENT WEB ID:,AMZ_STORECRD_PMT PAYMENT    604578162822612 WEB ID: 9130142001,-48.01,payment,payment,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:37.468752178Z,,,
2145af66-f940-30a7-bc4f-584d6f7e3756,2025-11-10,CHASE CREDIT CRD AUTOPAY PPD ID:,CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224,-458.4,payment,payment,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:37.528054345Z,,,
6504625a-35b8-3469-8896-3edb556b58d3,2025-11-09,AUTOMATIC PAYMENT - THANK YOU,AUTOMATIC PAYMENT - THANK YOU,458.4,payment,payment,7fb23e35-e03f-4066-a0bc-dcc79c9b31e1,EXPENSE,2026-01-09T15:17:20.553539212Z,,,
57ef5c7d-8c38-375c-b020-8ab31b6eaa62,2025-11-07,AGARWAL SUMIT KUMAR Platinum Digital Entertainment Credit D J*BARRONS,AGARWAL SUMIT KUMAR Platinum Digital Entertainment Credit D J*BARRONS,4.41,education,education,33170ec5-8f03-4cc9-b524-28a257508beb,EXPENSE,2026-01-09T15:15:56.986007840Z,,,
209dca87-649e-3590-8129-0b347406b1b1,2025-11-07,DISCOVER E-PAYMENT WEB ID:,DISCOVER         E-PAYMENT  2364            WEB ID: 3510020270,-5.66,payment,payment,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:37.585663220Z,,,
35847b5c-dcb6-3bdd-92ad-88030efb12e3,2025-11-04,AGARWAL SUMIT KUMAR Platinum Walmart+ Credit WMT PLUS Nov 2025 02737,AGARWAL SUMIT KUMAR Platinum Walmart+ Credit WMT PLUS Nov 2025 02737,14.27,groceries,groceries,33170ec5-8f03-4cc9-b524-28a257508beb,EXPENSE,2026-01-09T15:15:56.962879173Z,,,
1a5cc7e4-1b88-350d-9d2b-b445c27e58ba,2025-11-04,PAYPAL INST XFER PPCR CC REPAYME WEB ID: PAYPALSI77,PAYPAL           INST XFER  PPCR CC REPAYME WEB ID: PAYPALSI77,-1347.29,transfer,transfer,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:37.757940011Z,,,
afc82533-7964-3b1f-9f91-f07229974aae,2025-11-03,CHECK 98,CHECK 98,-8712.97,transfer,transfer,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:37.866537637Z,,,
806c4de1-3eaf-3f0a-bda0-139cf942f148,2025-11-03,ZELLE PAYMENT TO YOGESHJI AGARWAL,Zelle payment to Yogeshji agarwal 26810794878,-68.0,payment,payment,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:37.925578220Z,,,
6d0af5bb-9f5f-3afc-a746-1bb0c2563d77,2025-11-03,JPMORGAN CHASE CHASE ACH PPD ID:,JPMORGAN CHASE   CHASE ACH                  PPD ID: 1000008113,-4623.37,payment,payment,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:37.980681928Z,,,
540aa460-59d6-32a9-8535-a67ffda237a3,2025-10-28,"AGARWAL SUMIT KUMAR AUTOPAY PAYMENT RECEIVED - THANK YOU JPMorgan Chase Bank, NA","AGARWAL SUMIT KUMAR AUTOPAY PAYMENT RECEIVED - THANK YOU JPMorgan Chase Bank, NA",1411.29,payment,payment,33170ec5-8f03-4cc9-b524-28a257508beb,EXPENSE,2026-01-09T15:15:56.822916381Z,,,
d4afed67-cd2a-35b6-a92b-0ff48c474ef7,2025-10-28,SANTA CLARA DTAC SANTACLARA WEB ID:,Santa Clara DTAC SantaClara 3908491233      WEB ID: 0000079161,-4708.79,payment,payment,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:38.168358095Z,,,
b0a99097-2262-3b98-981a-dfd82d62e967,2025-10-28,AGARWAL SUMIT KUMAR Platinum Digital Entertainment Credit HLU*HULUPLUS,AGARWAL SUMIT KUMAR Platinum Digital Entertainment Credit HLU*HULUPLUS,1.87,entertainment,entertainment,33170ec5-8f03-4cc9-b524-28a257508beb,EXPENSE,2026-01-09T15:15:56.927174340Z,,,
1b34e467-f2bb-3d65-84b1-94286e3bf103,2025-10-28,CITI AUTOPAY PAYMENT PPD ID: CITICARDAP,CITI AUTOPAY     PAYMENT                    PPD ID: CITICARDAP,-2657.81,payment,payment,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:38.232139178Z,,,
a904c605-40f2-36ab-b07e-086620dea646,2025-10-27,CHASE CREDIT CRD AUTOPAYBUS PPD ID:,CHASE CREDIT CRD AUTOPAYBUS                 PPD ID: 4760039224,-94.0,payment,payment,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:38.412163220Z,,,
2841a0c7-f76b-36a0-87d6-292435f60ede,2025-10-27,ONLINE TRANSFER TO CHK ...9994 TRANSACTION#: 10/27,Online Transfer to CHK ...9994 transaction#: 26733130364 10/27,-500.0,transfer,transfer,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:38.363155012Z,,,
6877e3c2-decb-32b3-98b8-5520aba0ca9a,2025-10-27,MORGAN STANLEY ACH DEBIT 5749498361OP7V1 WEB ID:,Morgan Stanley   ACH DEBIT  5749498361op7v1 WEB ID: 9827837001,-25000.0,payment,payment,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:38.298784220Z,,,
558bc9ab-18d5-37d5-b251-48e42f7276e0,2025-10-27,AGARWAL SUMIT KUMAR Platinum Uber One Credit UBER ONE,AGARWAL SUMIT KUMAR Platinum Uber One Credit UBER ONE,9.99,transportation,transportation,33170ec5-8f03-4cc9-b524-28a257508beb,EXPENSE,2026-01-09T15:15:56.904968965Z,,,
f6707703-30ef-3b8c-9092-fce2fb72f3fd,2025-10-24,ZELLE PAYMENT TO GARIMAS HELP JPM99BS0S8MT,Zelle payment to Garimas Help JPM99bs0s8mt,-60.0,payment,payment,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:38.471715762Z,,,
8dc6e475-e1c9-32c7-9787-817180697545,2025-10-20,PUGET SOUND ENER BILLPAY PPD ID:,PUGET SOUND ENER BILLPAY                    PPD ID: 0000000160,-216.97,utilities,utilities,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:38.532150387Z,,,
4a62dee9-d6e3-3810-8bb6-e0f4e1fd51eb,2025-10-19,AGARWAL SUMIT KUMAR Platinum Digital Entertainment Credit GOOGLE *YOUTUBE MUSIC,AGARWAL SUMIT KUMAR Platinum Digital Entertainment Credit GOOGLE *YOUTUBE MUSIC,18.72,tech,tech,33170ec5-8f03-4cc9-b524-28a257508beb,EXPENSE,2026-01-09T15:15:56.882309631Z,,,
f4788709-0ddb-31c8-ab3a-9bb418adfda8,2025-10-17,CITI AUTOPAY PAYMENT WEB ID: CITICARDAP,CITI AUTOPAY     PAYMENT    291830757480236 WEB ID: CITICARDAP,-1533.26,payment,payment,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:38.593787012Z,,,
e968cca2-6944-3cc7-85ae-291e95964335,2025-10-17,AUTOPAY 999990000061086RAUTOPAY AUTO-PMT,AUTOPAY 999990000061086RAUTOPAY AUTO-PMT,1533.26,payment,payment,d9e9b150-b520-4997-87a5-de8dc2b4032e,EXPENSE,2026-01-09T15:16:00.383826258Z,,,
73a66c6c-9c09-3dc3-8843-510c8402b993,2025-10-15,CHASE CREDIT CRD AUTOPAY PPD ID:,CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224,-1456.07,payment,payment,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:38.655469595Z,,,
e49aeaa6-c5f6-31ac-ab5f-d67d822e2a75,2025-10-14,WITHDRAWAL 10/14,WITHDRAWAL 10/14,-600.0,cash,cash,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:38.720907054Z,,,
7eabcb87-2d55-33ac-a7e5-74b3f92ae665,2025-10-10,CHASE CREDIT CRD AUTOPAY PPD ID:,CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224,-489.25,payment,payment,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:38.910220512Z,,,
a92576c7-5524-365e-ba61-5f643e1f0d46,2025-10-10,CHASE CREDIT CRD AUTOPAY PPD ID:,CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224,-8.97,payment,payment,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:38.848596887Z,,,
9b3be84e-95a6-3dc0-b26f-d586bdfaee0a,2025-10-09,AMZ_STORECRD_PMT PAYMENT WEB ID:,AMZ_STORECRD_PMT PAYMENT    604578162822612 WEB ID: 9130142001,-87.63,payment,payment,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:38.970478470Z,,,
059f1dc3-9319-3a01-b2dc-5f977fac189c,2025-10-09,ZELLE PAYMENT TO RAJ MUDIT AGARWAL JPM99BQ8ZLOC,Zelle payment to Raj Mudit Agarwal JPM99bq8zloc,-600.0,payment,payment,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:39.031111804Z,,,
af2a479e-4dd8-3862-8c0e-5856dd5c3aff,2025-10-08,ZELLE PAYMENT TO RAJ MUDIT AGARWAL JPM99BQ6MQNG,Zelle payment to Raj Mudit Agarwal JPM99bq6mqng,-5000.0,payment,payment,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:39.095953304Z,,,
cdd56e19-2b48-3b8b-a6d5-2dbaab35fad2,2025-10-07,DISCOVER E-PAYMENT WEB ID:,DISCOVER         E-PAYMENT  2364            WEB ID: 3510020270,-11.74,payment,payment,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:39.155277595Z,,,
b72967c1-7c4f-354f-9e91-903234869e92,2025-10-07,AGARWAL SUMIT KUMAR Platinum Digital Entertainment Credit D J*BARRONS,AGARWAL SUMIT KUMAR Platinum Digital Entertainment Credit D J*BARRONS,4.41,education,education,33170ec5-8f03-4cc9-b524-28a257508beb,EXPENSE,2026-01-09T15:16:12.008125389Z,,,
5069058b-ecdf-3905-bd16-80f2888ed1e7,2025-10-06,PAYPAL INST XFER PPCR CC REPAYME WEB ID: PAYPALSI77,PAYPAL           INST XFER  PPCR CC REPAYME WEB ID: PAYPALSI77,-0.99,transfer,transfer,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:39.204708304Z,,,
cfc94887-ced2-3b51-8c45-4b79e39250ad,2025-10-06,COSTCO WHSE #0110 ISSAQUAH WA,COSTCO WHSE #0110 ISSAQUAH WA,96.11,groceries,groceries,d9e9b150-b520-4997-87a5-de8dc2b4032e,EXPENSE,2026-01-09T15:16:00.494024383Z,,,
be259404-9c14-3281-bc05-16ddf9b37f7e,2025-10-06,WWW COSTCO COM 800-955-2292 WA,WWW COSTCO COM 800-955-2292 WA,33.05,groceries,groceries,d9e9b150-b520-4997-87a5-de8dc2b4032e,EXPENSE,2026-01-09T15:16:00.458525133Z,,,
bbce4a78-1911-37ca-8a52-08640295ea20,2025-10-06,1% Cashback Bonus +$0.06 DIRECTPAY FULL BALANCE,1% Cashback Bonus +$0.06 DIRECTPAY FULL BALANCE,11.74,other,other,614f69f7-59e4-45d0-9e12-db9d111477c5,EXPENSE,2026-01-09T15:16:10.262870429Z,,,
16399c13-2480-3d83-b29d-be902d920651,2025-10-04,AGARWAL SUMIT KUMAR Platinum Walmart+ Credit WMT PLUS Oct 2025 02737,AGARWAL SUMIT KUMAR Platinum Walmart+ Credit WMT PLUS Oct 2025 02737,14.27,groceries,groceries,33170ec5-8f03-4cc9-b524-28a257508beb,EXPENSE,2026-01-09T15:16:11.974682805Z,,,
93974779-9e9b-3593-b94d-c1bc5ebe19b6,2025-10-02,CHASE CREDIT CRD AUTOPAY PPD ID:,CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224,-13.86,payment,payment,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:39.399768637Z,,,
2cb82a66-d41a-3022-a668-132a63afb59d,2025-10-01,AGARWAL SUMIT KUMAR Platinum Lululemon Credit LULULEMON ATHLETICA USA B,AGARWAL SUMIT KUMAR Platinum Lululemon Credit LULULEMON ATHLETICA USA B,75.0,transportation,transportation,33170ec5-8f03-4cc9-b524-28a257508beb,EXPENSE,2026-01-09T15:16:11.928004347Z,,,
2853a73d-792f-3caf-b1b2-789aadbb4153,2025-10-01,JPMORGAN CHASE CHASE ACH PPD ID:,JPMORGAN CHASE   CHASE ACH                  PPD ID: 1000008113,-4623.37,payment,payment,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:39.454146346Z,,,
164151a5-0eb4-32fa-8a9d-729c9d4bed7e,2025-10-01,AGARWAL SUMIT KUMAR Platinum Resy Credit TST* RAAJGHARANA INDIAN R,AGARWAL SUMIT KUMAR Platinum Resy Credit TST* RAAJGHARANA INDIAN R,95.15,dining,dining,33170ec5-8f03-4cc9-b524-28a257508beb,EXPENSE,2026-01-09T15:15:56.859363756Z,,,
7e2431ec-a055-3dc1-b5f5-eaeaec6e3a1e,2025-09-29,CHASE CREDIT CRD AUTOPAYBUS PPD ID:,CHASE CREDIT CRD AUTOPAYBUS                 PPD ID: 4760039224,-95.0,payment,payment,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:39.568183346Z,,,
4b5230ac-5f40-37ff-8bfe-d85980297890,2025-09-29,CITI AUTOPAY PAYMENT PPD ID: CITICARDAP,CITI AUTOPAY     PAYMENT                    PPD ID: CITICARDAP,-1438.57,payment,payment,e5559a9e-188e-4c83-aed7-1974ca0294dc,EXPENSE,2026-01-09T15:16:39.750177846Z,,,
cdace8a2-30b1-3334-b3c0-2df827ef574c,2025-09-28,AGARWAL SUMIT KUMAR Platinum Digital Entertainment Credit HLU*HULUPLUS,AGARWAL SUMIT KUMAR Platinum Digital Entertainment Credit HLU*HULUPLUS,4.39,entertainment,entertainment,33170ec5-8f03-4cc9-b524-28a257508beb,EXPENSE,2026-01-09T15:16:11.880284722Z,,,
e87cb3e1-92d2-3254-9201-62287b9d2cfb,2025-09-28,AUTOPAY 999990000012756RAUTOPAY AUTO-PMT,AUTOPAY 999990000012756RAUTOPAY AUTO-PMT,1438.57,payment,payment,1dfe4c39-4d2b-44b3-9a2a-1cd50bb21e72,EXPENSE,2026-01-09T15:16:05.116104052Z,,,
